imageFileName,imageStem,imagePath,fileSizeBytes,fileHash,duplicateGroupSize
127.jpg,127,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/127.jpg,125125,e68ce1a84ce72e989b39a91d6a9849af1dc74ac5b49b6afcf0b8d4b6088e08f1,1
128.jpg,128,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/128.jpg,48354,dd1585d99365a70ac588f1427a24d1d73d509cc8df0c99b9e817ceaa2c1a7736,1
129.jpg,129,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/129.jpg,37881,90fa13b881c4e4aced3e239db24fdec31b7f616a1d61900900a7c3fbe4efbbc2,1
13.jpg,13,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/13.jpg,63375,358329e3df591068ae6a387fa71adeb896afe3bebee86fac645857aedc048cc3,1
130.jpg,130,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/130.jpg,73076,b638a40db9eb3630b36aa49d9a4e29b1c5926591870e28a8f1eab18de76cd910,1
131.jpg,131,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/131.jpg,31368,c42157ddfef6bf7fb1c49639f735cc337e75bcc82b718072f5383b22be6ba11f,1
132.jpg,132,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/132.jpg,152028,37591000040d0933110a60ac8415fdc6a96eeafd255b71c0ae2ed08a54d23415,1
133.jpg,133,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/133.jpg,40331,2e3d2a62d6f69d24656edbeb6c930a1f7540b749f23c946caad4e40f2dd97ca9,1
134.jpg,134,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/134.jpg,38488,3e1c664008fcdcfceb7f9f483855e192c7fa5296e11b42e78936e9aaf9247ee3,1
135.jpg,135,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataRaw/wtDataset/JPEGImages/135.jpg,74845,f86938685edc40290017a67fe3909c5b8a7d8b756a09c152aaf3811eaceda5f3,1
